window	max_motif_edits	max_fuzzy_motif	min_reference_identity	min_reference_copy_num	min_reference_length	min_purity	min_insertion_purity	min_motif_length	max_motif_length	min_rep_length	min_rep_units	n_rows	n_rows_pass	rows_known	rows_novel_motif	rows_novel_locus	n_loci	loci_known	loci_novel_motif	loci_novel_locus	frac_loci_novel	ucsc_loci_known	ucsc_loci_novel_motif	ucsc_loci_novel_locus	trexplorer_loci_known	trexplorer_loci_novel_motif	trexplorer_loci_novel_locus	objective	score
1	0	50	NA	NA	NA	0.8	0.5	NA	NA	NA	NA	4518	1759	1123	629	7	131	93	37	1	0.2901	80	47	4	81	48	2	agreement	0.6031746031746031
1	1	50	NA	NA	NA	NA	NA	NA	NA	NA	NA	4518	4518	1785	2103	630	221	134	59	28	0.3937	119	70	32	113	76	32	agreement	0.7073170731707317
1	1	50	NA	NA	NA	0.8	0.5	NA	NA	NA	NA	4518	1759	1455	297	7	131	119	11	1	0.0916	113	14	4	96	33	2	agreement	0.2926829268292683
1	0	50	NA	NA	NA	NA	0.8	NA	NA	NA	NA	4518	1939	988	944	7	116	78	37	1	0.3276	63	50	3	72	42	2	agreement	0.6440677966101694
0	2	50	NA	NA	NA	0.8	0.5	NA	NA	NA	NA	4518	1759	1518	212	29	131	118	10	3	0.0992	111	12	8	109	17	5	agreement	0.4482758620689655
10	1	50	NA	NA	NA	0.8	0.8	NA	NA	NA	NA	4518	1468	1213	255	0	105	97	8	0	0.0762	91	12	2	79	24	2	agreement	0.25
50	2	50	NA	NA	NA	0.8	0.5	NA	NA	NA	NA	4518	1759	1603	156	0	131	126	5	0	0.0382	119	10	2	116	13	2	agreement	0.22727272727272727
50	1	50	NA	NA	NA	0.8	0.5	NA	NA	NA	NA	4518	1759	1488	271	0	131	123	8	0	0.0611	115	14	2	99	30	2	agreement	0.2
10	1	50	NA	NA	NA	0.8	0.5	NA	NA	NA	NA	4518	1759	1482	277	0	131	121	10	0	0.0763	114	14	3	97	32	2	agreement	0.24390243902439024
1	0	50	NA	NA	NA	NA	NA	NA	NA	NA	NA	4518	4518	1318	2570	630	221	109	84	28	0.5068	85	104	32	97	92	32	agreement	0.7567567567567568
